"年份","序号","地区","地方一般公共预算支出","一般公共服务支出","外交支出","国防支出","公共安全支出","教育支出","科学技术支出","文化体育与传媒支出","社会保障和就业支出","医疗卫生与计划生育支出","节能环保支出","城乡社区支出","农林水支出","交通运输支出","资源勘探信息等支出","商业服务业等支出","金融支出","援助其他地区支出","国土海洋气象等支出","住房保障支出","粮油物资储备支出","债务付息支出","债务发行费用支出","其他支出"
2018,1,"地方合计","188196.32","16871.01","2.99","210.76","11739.97","30438.24","5206.38","3256.73","25827.54","15412.90","5870.05","22037.75","20493.29","9969.05","4694.90","1533.68","534.03","442.16","1919.91","6299.92","685.11","3241.07","22.98","1485.90"
2018,2,"北京","7471.43","512.40",NA,"9.62","516.42","1025.51","425.87","245.43","835.65","490.09","399.45","1246.22","576.04","462.99","231.69","51.75","15.15","60.15","25.05","132.00","12.69","62.24","0.32","134.72"
2018,3,"天津","3103.16","231.06",NA,"2.60","236.53","448.19","106.68","52.92","505.46","192.76","66.46","561.44","165.71","82.84","173.85","51.23","3.60","23.66","27.31","92.21","8.45","42.85","0.16","27.19"
2018,4,"河北","7726.21","712.40",NA,"9.42","422.48","1385.59","77.04","115.17","1137.84","691.33","433.55","668.09","906.27","395.33","121.15","39.09","9.74","9.21","110.08","199.20","19.47","124.66","1.19","137.91"
2018,5,"山西","4283.91","362.60",NA,"3.69","248.25","668.03","59.08","92.85","671.65","358.99","170.29","370.52","581.34","208.64","89.62","19.08","20.30","2.71","79.53","126.12","16.82","55.38","0.51","77.90"
2018,6,"内蒙古","4831.46","355.98","0.04","4.71","247.45","576.33","26.05","109.27","707.20","315.62","162.72","414.92","903.96","430.69","80.38","36.21","29.42",NA,"52.98","182.21","18.65","156.51","1.35","18.84"
2018,7,"辽宁","5337.72","423.03",NA,"5.68","354.49","653.88","75.05","71.59","1463.57","350.62","94.21","462.51","461.74","211.90","169.62","29.10","3.77","12.67","54.20","151.08","22.04","212.01","1.43","53.53"
2018,8,"吉林","3789.59","308.88",NA,"5.29","218.48","513.82","41.10","70.24","634.10","281.22","120.79","375.17","537.55","232.50","81.07","26.20","17.29","3.53","58.66","124.43","37.53","83.78","0.58","17.39"
2018,9,"黑龙江","4676.75","307.61",NA,"5.52","247.22","544.38","39.52","46.20","1024.09","301.00","154.09","415.70","834.47","244.71","90.18","18.38","2.34","3.69","32.44","240.96","54.65","63.95","0.69","4.97"
2018,10,"上海","8351.54","367.16",NA,"9.91","412.13","917.99","426.37","186.52","933.38","470.12","233.39","2091.13","469.88","431.53","618.09","178.32","59.07","60.21","56.15","266.70","20.43","78.08","0.38","64.60"
2018,11,"江苏","11657.35","1124.06",NA,"17.77","826.08","2055.56","507.31","197.22","1316.55","845.32","317.99","1599.60","996.67","497.95","322.91","114.40","16.09","49.99","109.39","443.65","29.92","196.15","1.16","71.63"
2018,12,"浙江","8629.53","875.33",NA,"9.39","614.24","1572.47","379.66","174.59","914.93","626.20","194.75","1158.88","724.46","391.23","215.71","154.62","64.26","39.50","92.58","185.31","22.62","176.21","0.99","41.60"
2018,13,"安徽","6572.15","506.13",NA,"6.24","288.04","1113.26","294.81","79.77","954.67","627.10","209.32","998.56","704.86","220.78","103.91","36.65","10.33","5.66","48.71","224.91","25.92","95.16","0.96","16.40"
2018,14,"福建","4832.69","429.47",NA,"5.07","338.81","925.06","115.25","84.73","468.15","441.70","124.04","623.52","431.51","268.99","173.44","68.10","6.32","4.72","54.33","88.82","22.10","94.39","0.38","63.79"
2018,15,"江西","5667.52","525.27",NA,"6.64","300.60","1054.41","147.09","79.10","761.06","585.47","162.55","676.15","599.41","230.74","166.85","37.09","2.35","3.10","38.44","137.59","16.82","73.51","0.67","62.60"
2018,16,"山东","10100.96","943.35","0.86","15.10","644.95","2006.50","232.74","153.52","1253.99","885.15","287.20","1109.72","998.50","412.79","226.88","102.20","62.14","30.21","129.17","343.82","29.93","197.08","0.85","34.32"
2018,17,"河南","9217.73","972.55",NA,"7.08","460.18","1664.67","155.67","103.04","1298.45","928.95","358.70","1152.43","1001.08","283.19","119.67","41.89","19.83","5.01","68.60","359.62","42.45","128.39","0.66","45.63"
2018,18,"湖北","7258.27","739.21",NA,"4.61","428.99","1065.64","268.49","113.15","1172.00","575.74","211.30","848.56","785.55","370.64","124.61","32.31","3.10","7.57","97.47","213.62","32.51","107.43","0.52","55.27"
2018,19,"湖南","7479.61","797.30",NA,"12.50","419.18","1186.72","129.94","134.54","1095.57","627.10","190.89","787.31","925.57","342.51","158.72","59.96","10.23","5.81","97.09","256.47","34.23","174.38","1.09","32.50"
2018,20,"广东","15729.26","1556.29","0.23","11.16","1355.53","2792.90","1034.71","321.84","1508.02","1407.51","567.41","2083.14","909.78","617.33","316.27","64.32","70.61","106.06","161.44","527.13","64.93","150.74","1.31","100.62"
2018,21,"广西","5310.74","527.25",NA,"8.22","313.38","933.22","64.43","63.59","769.70","546.52","79.45","648.84","656.58","282.03","70.45","31.69","4.16",NA,"51.19","130.36","21.26","97.61","0.92","9.91"
2018,22,"海南","1691.30","139.49","1.21","8.61","97.45","248.98","15.04","47.37","208.87","144.46","61.24","149.81","227.71","141.59","31.79","13.63","1.13",NA,"20.93","64.19","3.21","36.65","0.21","27.75"
2018,23,"重庆","4540.95","322.02","0.14","5.19","259.31","680.99","68.59","49.31","772.13","372.79","160.19","766.54","366.77","272.17","101.65","47.68","5.12","1.64","58.90","123.04","13.74","72.61","0.32","20.11"
2018,24,"四川","9707.50","897.00","0.06","13.54","528.35","1461.78","147.91","154.91","1644.17","880.89","226.90","698.87","1310.89","623.97","298.58","77.50","23.58","6.17","108.33","350.72","33.96","149.17","1.23","69.05"
2018,25,"贵州","5029.68","496.47",NA,"4.12","282.70","985.95","102.88","60.80","537.71","481.80","134.38","246.21","664.84","381.49","89.49","25.66","0.67",NA,"46.67","275.59","11.29","150.87","1.38","48.71"
2018,26,"云南","6075.03","643.28",NA,"5.66","386.41","1077.43","54.94","72.20","846.23","575.42","169.81","439.78","842.20","441.62","64.92","28.71","4.53",NA,"51.47","224.21","12.52","125.70","0.79","7.23"
2018,27,"西藏","1970.68","283.04","0.40","1.55","109.45","232.15","8.12","46.02","107.92","106.93","44.93","105.26","364.64","334.25","48.53","10.43","1.57",NA,"12.78","57.22","2.66","2.36","0.04","90.43"
2018,28,"陕西","5302.44","490.33",NA,"3.85","269.46","871.44","87.22","126.11","793.86","455.31","176.02","537.90","626.79","276.28","90.33","50.20","40.32","0.90","59.59","194.00","17.62","100.17","0.69","34.06"
2018,29,"甘肃","3772.23","339.05",NA,"2.53","190.85","592.96","25.74","72.52","504.77","313.53","127.82","170.39","678.35","352.89","60.10","24.24","21.33",NA,"51.74","157.81","12.96","46.50","0.40","25.75"
2018,30,"青海","1647.43","132.58",NA,"0.90","87.19","199.10","12.80","35.49","230.80","141.60","63.51","114.32","267.85","154.63","37.83","15.32","0.65",NA,"17.75","66.53","6.09","57.11","0.79","4.56"
2018,31,"宁夏","1419.06","91.31",NA,"0.63","68.40","170.47","34.02","23.33","175.99","105.55","72.38","198.49","219.06","94.35","37.93","15.43","4.97",NA,"9.66","54.44","5.25","33.91","0.31","3.16"
2018,32,"新疆","5012.45","459.11","0.07","3.99","566.96","812.88","42.25","73.39","579.06","286.14","94.33","317.81","753.25","276.49","178.71","32.31","0.07",NA,"37.27","305.96","12.41","95.53","0.69","83.79"
