"年份","序号","地区","一般预算支出","一般公共服务","国防","公共安全","教育","科学技术","文化体育与传媒","社会保障和就业","医疗卫生","环境保护","城乡社区事务","农林水事务","交通运输","资源勘探电力信息等事务","商业服务业等事务","金融监管等事务支出","地震灾后恢复重建支出","国土资源气象等事务","住房保障支出","粮油物资储备管理事务","国债还本付息支出","其他支出"
2010,15,"江西","1923.26","218.75","4.09","107.49","297.50","18.26","28.38","233.02","150.02","49.14","102.47","232.34","107.31","117.53","35.43","1.06","0.18","25.43","68.08","45.21","6.63","74.95"
2010,16,"山东","4145.03","544.31","10.41","244.03","770.45","84.36","74.03","416.77","250.77","112.93","388.40","465.98","230.50","161.12","99.49","2.96","26.14","65.90","35.25","30.81","31.58","98.85"
2010,17,"河南","3416.14","478.69","4.16","189.72","609.37","44.67","54.99","461.22","270.21","96.38","165.30","399.19","173.84","89.81","73.88","11.99","3.10","75.36","77.25","45.35","10.67","80.97"
2010,18,"湖北","2501.40","314.93","2.00","166.87","366.57","30.09","36.67","368.42","179.13","96.31","119.63","305.44","124.03","109.84","60.25","3.41","4.93","36.52","56.59","24.58","9.45","85.75"
2010,19,"湖南","2702.48","367.20","7.49","159.14","403.10","35.04","39.66","396.40","180.44","90.82","186.98","322.65","153.03","96.99","46.52","8.96",NA,"40.39","81.75","28.20","9.33","48.36"
2010,20,"广东","5421.54","685.39","11.09","495.80","921.48","214.44","166.16","469.58","304.04","239.16","407.64","325.02","318.17","163.98","99.33","12.71","24.99","45.89","88.57","39.32","57.18","331.54"
2010,21,"广西","2007.59","268.76","7.26","125.14","366.84","21.66","32.77","217.07","165.49","63.99","103.87","260.26","93.71","69.86","29.48","1.07",NA,"38.90","58.93","11.98","6.47","64.07"
2010,22,"海南","581.34","62.44","1.91","43.94","98.33","7.47","11.61","73.80","34.82","14.89","36.81","87.68","26.23","14.60","7.82","0.01",NA,"9.10","23.83","1.64","2.53","21.51"
2010,23,"重庆","1709.04","168.49","6.18","91.84","240.46","17.90","24.04","236.98","94.87","69.01","251.26","159.18","81.85","83.28","30.66","4.62","4.52","31.99","79.91","9.91","1.18","20.90"
2010,24,"四川","4257.98","407.31","8.53","218.38","540.65","34.71","59.37","513.65","263.34","112.99","179.19","401.76","192.98","153.73","69.29","4.79","808.82","48.37","107.03","26.80","11.83","94.45"
2010,25,"贵州","1631.48","212.69","3.66","101.46","292.06","16.66","23.98","140.76","127.68","54.32","53.00","246.76","109.61","48.34","21.52","0.06",NA,"24.51","87.62","5.72","9.49","51.57"
2010,26,"云南","2285.72","246.50","6.53","145.42","374.79","21.43","35.53","304.69","183.70","86.41","86.66","327.21","139.88","46.22","35.30","7.79","0.04","31.93","112.12","6.35","34.23","52.93"
2010,27,"西藏","551.04","72.35","3.06","41.33","60.80","2.71","12.48","31.91","32.04","11.77","20.51","89.11","64.06","17.24","5.84","0.35",NA,"6.92","10.46","1.89","0.01","66.15"
2010,28,"陕西","2218.83","287.29","2.90","111.50","377.79","25.25","47.86","315.61","156.66","82.88","126.84","267.16","129.06","71.63","34.96","2.22","17.78","32.12","68.72","15.92","13.99","30.70"
2010,29,"甘肃","1468.58","145.75","1.77","70.45","228.23","10.89","29.78","215.09","100.40","68.31","56.82","196.27","66.58","27.89","17.66","7.24","94.15","36.77","58.10","9.81","5.53","21.10"
2010,30,"青海","743.40","55.20","0.79","35.48","82.47","4.08","11.57","189.50","38.94","36.15","30.60","69.50","46.68","23.27","7.85","0.55","0.12","22.39","61.09","4.43","5.34","17.38"
2010,31,"宁夏","557.53","51.77","0.63","31.49","81.59","5.97","16.09","35.03","34.02","30.79","61.89","94.23","21.80","21.66","10.33","0.93",NA,"7.15","28.05","2.29","8.21","13.62"
2010,32,"新疆","1698.91","195.57","4.03","128.56","313.84","20.19","33.92","166.40","103.56","51.02","95.28","220.50","91.54","38.53","21.64","4.00","10.86","33.65","90.02","12.20","5.61","57.62"
