"年份","序号","地区","地方一般公共预算支出","一般公共服务支出","外交支出","国防支出","公共安全支出","教育支出","科学技术支出","文化体育与传媒支出","社会保障和就业支出","医疗卫生与计划生育支出","节能环保支出","城乡社区支出","农林水支出","交通运输支出","资源勘探信息等支出","商业服务业等支出","金融支出","援助其他地区支出","国土海洋气象等支出","住房保障支出","粮油物资储备支出","债务付息支出","债务发行费用支出","其他支出"
2017,16,"山东","9258.4","857.51","0.03","15.99","566.05","1890","195.77","141.9","1131.96","829.27","236.84","1075.92","953.59","367.31","198.65","83.96","22.75","22.2","144.63","309.89","27.77","152.72","1.15","32.52"
2017,17,"河南","8215.52","850.29",NA,"5.98","417.11","1493.11","137.94","97.52","1160.23","836.66","241.65","1122.67","916.81","296.17","104.08","34.57","18.99","3.18","65.86","248.12","35.19","99.78","1.09","28.52"
2017,18,"湖北","6801.26","688.85",NA,"3.56","397.54","1101.35","234.27","95.26","1092.3","614.69","139.71","693.61","714.73","306.31","174.28","33.71","4.26","6.84","90.68","249.55","34.36","101.49","0.52","23.38"
2017,19,"湖南","6869.39","747.05",NA,"12.93","371.77","1115.33","91.42","148.83","1017.9","585.98","173.28","716.54","782.42","332.08","168.29","56.56","12.47","4.92","96.01","248.97","28.96","127.76","1.16","28.76"
2017,20,"广东","15037.48","1355.6","0.26","11.85","1214.04","2575.52","823.89","285.87","1423.33","1307.56","433.23","2180.53","754.4","848.4","402.6","91.73","20.65","118.68","156.54","762.03","58.51","115.25","0.82","96.18"
2017,21,"广西","4908.55","455.35","0.01","8.78","283.17","920.2","60.04","64.36","678.65","512.31","85.11","529.69","646.87","244.09","82.82","38.69","3.48",NA,"57.03","140.38","19.5","68.55","0.97","8.49"
2017,22,"海南","1443.97","122.13","0.96","5.14","85.72","220.87","12.47","29.86","183.08","127.37","35.72","119.92","198.42","136.9","26.2","12.36","0.88",NA,"25.56","55.36","4.18","30.29","0.31","10.27"
2017,23,"重庆","4336.28","304.55","0.13","4.84","235.91","626.3","59.31","48.89","702.82","353.79","154.95","815.64","347.57","287.97","92.25","60.66","1.67","2.2","54.14","112.78","12.57","52.64","0.61","4.1"
2017,24,"四川","8694.76","793.3","0.02","11.43","471.42","1389.2","106.57","142.46","1501.35","831.46","197.75","724.79","1023.13","526.68","300.43","81.21","14.13","5.06","80.35","325.16","32.41","96.89","1.37","38.2"
2017,25,"贵州","4612.52","464.83",NA,"4.4","268.09","901.96","87.72","64.73","498.74","436.21","125.39","198.82","612.05","336.91","97.96","30.16","0.74",NA,"46.38","251.86","9.02","116.16","1.07","59.3"
2017,26,"云南","5712.97","609.83","0<U+00A0>","5.99","343.26","998.33","53.42","71.3","750.33","546.99","179.48","464.75","674.82","511.24","62.47","28.69","4.38",NA,"60.3","213.62","15.02","81.1","1.48","36.18"
2017,27,"西藏","1681.94","243.55","0.22","1.94","102.71","227.2","8.49","44.93","155.86","93.8","46.64","165.99","238.09","200.34","62.07","8.56","15.51","0.02","8.36","38.38","2.38","1.37","0.05","15.47"
2017,28,"陕西","4833.19","417.34",NA,"4.45","241.82","828.25","79.34","121.95","718.22","418.27","162.52","477.73","545.4","304.03","93.46","42.78","17.67","1.34","53.15","199.36","18.3","72.4","0.76","14.63"
2017,29,"甘肃","3304.44","307.23",NA,"2.46","170.38","567.35","25.83","64.59","468.16","289.24","102.2","166.9","520.79","285.75","49.09","25.14","0.37",NA,"57.69","133.84","9.49","35.84","0.36","21.72"
2017,30,"青海","1530.44","123.85",NA,"0.99","90.04","187.51","11.94","37.58","209.57","125.21","60.93","137","233.12","95.38","36.35","17.7","2.88",NA,"39.1","67.32","5.41","42.43","0.75","5.38"
2017,31,"宁夏","1372.78","86.15",NA,"0.66","64.59","170.65","25.55","22.82","162.32","97.98","57.61","187","222.39","100.82","45.17","16.62","3.48",NA,"10.66","60.32","3.51","30.38","0.35","3.75"
2017,32,"新疆","4637.24","433.47","0.38","6.38","576.39","722.59","42.81","80.4","526","266.71","54.66","329.3","612.49","261.9","236.52","36.32","4.43","0.03","49.59","234.48","10.48","85.09","0.88","65.94"
