"年份","序号","地区","地方一般公共预算支出","一般公共服务支出","外交支出","国防支出","公共安全支出","教育支出","科学技术支出","文化体育与传媒支出","社会保障和就业支出","医疗卫生与计划生育支出","节能环保支出","城乡社区支出","农林水支出","交通运输支出","资源勘探信息等支出","商业服务业等支出","金融支出","援助其他地区支出","国土海洋气象等支出","住房保障支出","粮油物资储备支出","债务付息支出","债务发行费用支出","其他支出"
2017,1,"地方合计","173228.34","15238.9","2.08","206.02","10612.33","28604.79","4440.02","3121.01","23610.57","14343.03","5266.77","20561.55","18380.25","9517.56","4660.21","1519.66","294.83","398.99","2005.8","6131.82","653.3","2495.38","24.28","1139.19"
2017,2,"北京","6824.53","493.24",NA,"9.96","467.99","964.62","361.76","208.96","795.38","427.87","458.44","1034.14","518.35","446.48","155.24","53.73","12.93","69.22","24.11","148","12.04","49.73","0.47","111.89"
2017,3,"天津","3282.54","209.02",NA,"3.59","207.42","434.59","115.99","57.94","459.58","182.1","110.22","882.35","158.36","87.69","123.5","53.44","5.52","15.96","21.92","64.08","5.82","30.02","0.24","53.2"
2017,4,"河北","6639.18","633.18",NA,"8.81","367.55","1276.55","69.08","103.19","976.88","605.1","353.45","455.35","782.91","352.42","114.05","39.2","4.09","7.64","118.39","175.12","18.97","115.36","0.9","60.96"
2017,5,"山西","3756.42","314.07",NA,"3.67","216","620.67","50.25","71.92","646.63","321.34","128.87","281.91","477.91","164.79","73.01","19.52","7.19","2.67","119.96","138.19","16.83","42.41","0.45","38.18"
2017,6,"内蒙古","4529.93","349.1","0.06","4.34","250.09","561.85","33.67","116.79","704.14","323.48","143.67","340.12","807.71","344.38","94.24","41.84","19.43",NA,"51.98","164.31","19.91","119.14","0.97","38.7"
2017,7,"辽宁","4879.42","386.04",NA,"6.14","301.66","648.06","57.38","86.44","1340.54","336.63","106.53","409.64","459.23","215.16","105.9","31.77","2.18","11.41","45.78","124.77","21.89","152.18","1.36","28.73"
2017,8,"吉林","3725.72","294.5",NA,"5.06","212.44","508.09","46.84","70.69","550.8","279.22","115.12","394.45","554.77","257.33","88.5","31.14","6.94","2.49","67.88","128.04","48.73","55.36","0.83","6.52"
2017,9,"黑龙江","4641.08","279.08",NA,"5.34","223.39","573.11","46.91","53.56","928.55","297.17","193.2","456.7","815.16","252.56","70.35","18.28","2.92","2.85","47.83","265.15","48.32","55.18","0.65","4.82"
2017,10,"上海","7547.62","320.7",NA,"9.75","356.12","874.1","389.9","191.32","1061.03","412.18","224.66","1531.42","456.53","428.84","566.79","141.27","26.37","45.02","81.99","286.01","18.15","69.15","0.28","56.02"
2017,11,"江苏","10621.03","1022.75",NA,"17.1","717.07","1979.57","428.01","194.37","1043.4","789.52","292.1","1500.54","918.22","482.13","347.58","112.56","13.59","39.93","117.18","351.81","30.98","157.02","1.29","64.31"
2017,12,"浙江","7530.32","765.03",NA,"8.15","548.44","1430.15","303.5","159.66","801.78","584.17","190.15","910.17","696.69","320.53","193.54","140.38","10.47","24.15","67.95","169.78","16.77","143.7","0.91","44.24"
2017,13,"安徽","6203.81","453.28",NA,"5.55","258.39","1014.91","260.41","80.94","862.53","597.74","198.64","1013.8","681.91","230.37","106.11","34.71","13.55","4.78","56.09","222.52","25.69","74.77","0.62","6.5"
2017,14,"福建","4684.15","380.84",NA,"5.14","330.02","842.21","99.44","87.34","394.56","420.44","120.65","728.08","447.7","263.68","172.88","67.81","13.8","5.28","48.6","91.59","25.01","63.64","0.95","74.48"
2017,15,"江西","5111.47","477.17","0<U+00A0>","5.68","255.74","940.57","120.09","74.65","663.93","492.59","143.4","516.06","607.71","228.91","215.8","34.6","7.12","3.1","40.09","151.04","17.11","57.57","0.66","57.87"
