obs,中文名,英文名,评分,评价数,近期售出数,价格,种类,葡萄品种,年份,COO原产地,级别,酒精度,容量,香味分类,色泽,酒体,口感分类,建议醒酒时间,搭配菜肴,品鉴,商品ID
589,"
								图尔巴干红葡萄酒",Tour Badens,"
												80%
										",27,近期售出数 1710,45,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon),丹魄(Tempranillo)",  ,"
											法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
											VDCE","
											12.0%","
											750ml","
											清新水果香气","
											宝石红","
											中低","
											平衡","
											10分钟","
											配合牛肉、烤羊肉、辛辣面食或者乳酪食用尤佳","
											无",5190405
590,"
								（国内提货）巴顿城堡干红葡萄酒2017期酒",Leoville Barton 2017,"
												100%
										",0,近期售出数 33,688,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,"
											饱满",  ,  ,  ,6238940
591,"
								奥兰国际象棋葡萄酒 整箱6支装（不同标签随机发货）",Torre Oria ,"
												100%
										",0,近期售出数 41,109,"
																红葡萄酒 干红","
																100%丹魄(Tempranillo)",  ,"
																西班牙(Spain) 瓦伦西亚(Valencia)","
																DO","
																12%vol","
																750毫升","
																黑梅、樱桃、红色水果","
																宝石红色","
																中","
																平衡","
																10分钟","
																红肉类食物",  ,6238539
592,"
								富贵金羊干红葡萄酒1.5L（FSA）",Cabra Rica 1500ml,"
												90%
										",77,近期售出数 5712,299,"
											红葡萄酒 干红","
											多年份赤霞珠(Cabernet Sauvignon)",  ,"
											西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","
											D.O  西班牙法定产区 出品","
											13.0%","
											1500ml","
											黑梅、樱桃","
											深紫色","
											中","
											圆润","
											30分钟","
											红肉类食物","
											无",6205450
593,"
								纷赋银标霞多丽干白葡萄酒",Wolf Blass Silver Label Chardonnay,"
												100%
										",0,近期售出数 52,168,"
											白葡萄酒 干白","
											100%霞多丽（Chardonnay）",  ,"
											澳大利亚(Australia) 南澳(South Australia)","
											澳大利亚优质酒庄","
											0.135","
											750ml","
											白桃","
											黄","
											中低","
											饱满","
											即开即饮","
											海鲜","
											无",6229456
594,"
								杰卡斯酿酒师臻选系列西拉干红葡萄酒",Jacob s Creek Winemaker s Selection Shiraz,"
												90%
										",5,近期售出数 221,89,"
											红葡萄酒 干红","
											100%西拉(Shiraz)","
											2009","
											澳大利亚(Australia) 南澳(South Australia)",  ,"
											13.9%","
											750ml","
											橡木","
											深邃红色","
											重","
											辛辣","
											30分钟","
											红肉，家禽，野味，奶酪","
											无",5171906
595,"
								Relax粉红葡萄酒（罗莱克斯粉红葡萄酒）",RELAX PINK,"
												90%
										",73,近期售出数 1515,85,"
											桃红葡萄酒 半甜桃红","
											丹魄(Tempranillo)","
											0000","
											西班牙(Spain) 里奥哈(Rioja)","
											VDM","
											11.0%","
											750ml","
											草莓 樱桃","
											桃红色","
											中高","
											平衡","
											20分钟","
											各种肉类，海鲜等","
											无",5171264
596,"
								贝尔莱干白葡萄酒（里奥哈）",Beronia Viura ,"
												90%
										",5,近期售出数 2541,138,"
											白葡萄酒 干白","
											100%维尤拉(Viura)",  ,"
											西班牙(Spain) 里奥哈(Rioja)","
											里奥哈法定产区 D.O.C","
											12.5%","
											750ml","
											梨、菠萝、柑橘、柠檬","
											浅黄绿色","
											中","
											清雅","
											即开即饮","
											沙拉、鱼类、白肉类食物","
											无",6221252
597,"
								姚明金峰干红葡萄酒",Golden Peak,"
												100%
										",1,近期售出数 227,248,"
											红葡萄酒 干红","
											90%赤霞珠(Cabernet Sauvignon)5%梅洛(Merlot)5%品丽珠(Cabernet Franc)",  ,"
											美国(USA) 加州(California)",  ,"
											14.2%","
											750ml","
											李子，樱桃，黑莓","
											深红色","
											中高","
											饱满","
											30分钟","
											红肉，香肠，奶酪等",  ,6222418
598,"
								杰卡斯酿酒师臻选系列赤霞珠干红葡萄酒",Jacob s Creek Winemaker s Selection Cabernet Sauvignon,"
												90%
										",8,近期售出数 265,89,"
											红葡萄酒 干红","
											100%赤霞珠(Cabernet Sauvignon)","
											2008","
											澳大利亚(Australia) 南澳(South Australia)",  ,"
											13.5%","
											750ml","
											橡木","
											深邃红色","
											重","
											辛辣","
											30分钟","
											红肉，家禽，野味，奶酪","
											无",5171908
