"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p1_9","V1_p1_10","V1_p2_1","V1_p2_2","V1_p2_3","V1_p2_4","V1_p2_5","V1_p2_6","V1_p2_7","V1_p2_8","V1_p2_9","V1_p2_10","V1_p2_11","V1_p3_1","V1_p3_2","V1_p3_3","V1_p3_4","V1_p3_5","V1_p3_6","V1_p3_7","V1_p3_8","V1_p3_9"
2001,"地方合计",131345584,16475614,6020346,692722,1424832,92130,2491153,1094537,4603047,1174768,217324,3200439,20357188,876273,5575361,6221063,2647610,5691262,7473369,118448,11792891,94786,177402,8661536,5680437,4431050,1335069,11045,2282466,10431416
2001,"北京",5591063,929621,354651,5655,48664,11903,117269,28924,49621,28369,2598,114758,722553,72723,330792,215650,143878,228974,63285,819,273574,1260,NA,391025,273217,68509,138,148,NA,114910
2001,"天津",2346673,374269,282510,9720,60570,NA,23658,15117,18584,12910,224,52892,362565,14171,100050,56028,36034,8520,192219,664,111505,2350,1361,155234,160929,66099,39,1621,38992,187838
2001,"河北",5141754,381937,193931,15140,56248,NA,72459,39113,137557,72971,8886,128254,895642,23647,216635,411521,119193,265491,376836,5603,462856,6023,2872,394963,151459,252425,45880,851,119337,284024
2001,"山西",2895027,254447,22943,13710,23617,25586,63476,28721,108627,27714,4164,82401,503801,12371,134067,147682,64974,204139,269267,3342,333116,854,2051,194311,84896,90276,33492,50,54708,106224
2001,"内蒙古",3192570,513916,97638,29985,23568,NA,60815,35087,252747,24555,5286,79883,397389,14025,112207,175175,54268,206464,161678,2717,317590,792,8210,173835,112129,178737,55007,10,31904,66953
2001,"辽宁",6354295,656019,263525,32492,117582,NA,140001,61578,128146,45135,12462,114068,749956,33031,175897,345806,183113,287507,1045161,9745,458555,16594,5057,373558,390133,274884,26668,667,117527,289428
2001,"吉林",3264343,298628,115681,26723,30641,610,25817,24891,170492,38460,9950,71078,442732,20690,110660,149321,66976,228199,289193,2417,223773,3389,6940,188337,94261,478561,22386,59,46094,77384
2001,"黑龙江",4782724,475613,175765,32854,53186,NA,78026,42179,337399,59836,17069,103141,649654,34646,162514,313225,83448,63822,514944,5048,344676,2247,13093,277902,194422,473188,28476,NA,113010,133341
2001,"上海",7081382,1443460,952702,1082,12850,NA,101364,30216,51102,38057,1216,132593,997392,84740,345677,223031,96650,56364,99019,2026,287628,8150,NA,433698,277483,65396,NA,NA,NA,126180
2001,"江苏",7296421,609976,605365,15999,93892,1788,212622,62588,157771,48688,7781,189299,1446083,50603,374021,223608,161603,263378,171506,6626,681694,5393,8993,476774,645405,115694,4987,827,151716,501741
2001,"浙江",5972991,446356,434321,21237,124034,NA,130794,65687,205713,105887,3878,174502,1082977,51223,327563,373691,97112,51092,91514,4157,598098,3232,8865,477851,438197,72790,20164,150,166181,395725
2001,"安徽",4037988,435524,233515,27104,20769,34,64385,44339,116685,24240,4140,94125,666783,16136,127771,151343,98785,239604,318657,3818,424417,3610,2675,220834,123004,242335,41793,23,48434,243106
2001,"福建",3731855,395452,125658,10995,48189,541,91059,32730,117722,42293,8927,111986,724402,30692,169361,204863,65305,209439,73789,9723,296860,2213,12243,240233,125436,82982,27498,96,61272,409896
2001,"江西",2837144,279192,116647,48387,12096,NA,48401,42759,82951,28198,8229,66674,484329,14891,117642,159303,56558,107184,212844,1557,259773,485,3396,189316,95860,186548,38574,87,34025,141238
2001,"山东",7537781,409608,523941,16791,115257,2970,146001,86253,246679,79048,10225,206502,1377529,45428,306587,400182,175993,312186,302506,3152,743144,4994,4023,441382,485770,212299,12492,3410,193398,670031
2001,"河南",5085795,332591,201082,28106,41388,1935,86490,46223,158427,51123,5457,134691,960043,24464,194296,261678,112879,317948,328837,1650,582800,941,NA,356665,166034,247330,64202,368,NA,105914
2001,"湖北",4844034,770397,101111,17548,46217,29111,74223,34712,134230,41455,11592,112788,704577,16902,215028,191577,134987,175653,314381,2246,446871,1096,6123,282802,135336,190273,40389,1277,56197,554935
2001,"湖南",4316953,394040,97654,46502,51541,NA,65467,41131,148858,48570,12902,107482,650949,22641,135138,193434,100905,243306,387483,3821,414152,1239,4299,312577,170653,205900,51379,81,74347,330502
2001,"广东",13213314,1924571,209739,22376,236139,2659,281956,48075,365486,64833,19219,334967,1802758,116525,539932,682427,178904,546047,299266,13012,1203021,6820,37016,1169570,638734,187703,51159,440,237762,1992198
2001,"广西",3516498,418730,135480,24323,19102,1000,84841,32178,119189,20867,3396,95446,620103,23844,156254,240504,59385,131989,112846,5752,353041,6791,4891,259057,101776,72732,75850,101,48164,288866
2001,"海南",789426,101717,1416,2505,2028,NA,18985,11659,24709,3041,1070,19195,111541,4106,29414,66356,15354,37617,53479,876,78448,1554,1438,53616,25167,12305,18332,269,7961,85268
2001,"重庆",2375486,406801,48466,5212,24158,NA,30195,25368,71396,4823,3178,46779,332065,8306,87254,70395,69191,166297,214719,2109,247521,693,11572,167409,114276,60966,34479,10,36780,85068
2001,"四川",5940981,783327,303298,45688,46290,11390,81710,66857,346587,44312,11654,130951,852367,32088,248216,191158,130249,312709,441005,8545,677156,3276,7800,369351,167466,208969,99322,62,65979,253199
2001,"贵州",2751975,431347,44494,26865,14869,600,49582,18684,131595,27334,6515,78148,444172,17406,135517,106913,47842,22398,162362,2006,321894,1574,1852,182523,79706,50967,96380,8,34026,214396
2001,"云南",4964302,830696,123494,27287,40526,40,165281,31848,255464,61707,20109,118315,762797,34435,251483,236861,102327,313455,262138,7989,447596,2867,12826,287628,158702,58005,140124,220,54424,155658
2001,"西藏",1045690,348096,3261,11134,2616,NA,12663,8557,41952,26948,907,22775,89461,2263,39037,13316,12787,15784,14824,931,143065,275,1706,44277,4837,13782,22131,NA,1760,146545
2001,"陕西",3500506,503090,82158,39993,22773,1505,69432,28685,247371,51524,10440,92392,523579,16892,114542,174329,71961,152091,314003,1326,353754,2514,2419,184370,115985,78456,84455,29,57633,102805
2001,"甘肃",2354643,391787,85429,35304,11963,158,38791,15031,142652,16404,1740,67527,359811,14319,98830,80559,38727,132162,100840,1129,258060,1791,1216,115808,49999,76945,78194,20,35689,103758
2001,"青海",1012951,262317,11252,10894,4985,NA,16645,9857,47579,9821,375,21812,101814,3581,41538,33370,16770,106144,86538,584,92096,381,815,48754,9127,13701,36953,60,6189,18999
2001,"宁夏",935787,242952,45265,9963,7079,300,14177,12652,47982,7542,1979,22720,108879,5263,39445,29515,13726,34662,73194,570,60773,941,474,38218,19018,21747,26153,NA,8086,42512
2001,"新疆",2633232,429137,27954,31148,11995,NA,24568,22838,137774,18103,1756,72295,428485,14221,137993,98242,37726,250637,125036,4488,295384,447,3176,159658,71020,70546,57973,101,33867,66664
