"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p1_9","V1_p1_10","V1_p2_1","V1_p2_2","V1_p2_3","V1_p2_4","V1_p2_5","V1_p2_6","V1_p2_7","V1_p2_8","V1_p2_9","V1_p2_10","V1_p2_11","V1_p3_1","V1_p3_2","V1_p3_3","V1_p3_4","V1_p3_5","V1_p3_6","V1_p3_7","V1_p3_8","V1_p3_9"
2002,"地方合计",152814521,18898412,5526917,729943,1772855,20827,2618029,1214242,5997409,1407066,242036,3802333,24347279,988420,6177868,7706867,3702940,7055703,9614178,169355,14346510,104295,208671,10411631,6539940,3735761,1410118,10921,2636992,11417003
2002,"北京",6283496,643100,413647,7078,63704,NA,134634,35553,64770,29166,2184,141881,858185,87806,379281,273405,179808,297274,94275,917,352020,1516,21,500775,332346,42057,47,332,145807,1201907
2002,"天津",2652103,393565,307820,10599,66774,NA,31105,14030,25341,11603,227,63087,415730,15593,117052,73756,55096,9231,231069,695,133136,2584,1260,178573,204363,23969,39,1292,48129,216385
2002,"河北",5765891,465864,106151,17529,48715,NA,76212,40718,202748,88213,9519,152048,1100203,24751,246358,462940,151598,315758,374457,10222,582588,7562,3459,434965,188808,187356,46256,1481,129808,289604
2002,"山西",3342741,292984,15516,14890,25142,2707,61220,31608,153182,35248,5095,96083,586762,13706,150782,175392,93514,235380,341298,4064,380614,1245,3146,225915,105708,70229,45431,37,72220,103623
2002,"内蒙古",3935743,812413,97799,36022,27670,NA,50798,37585,276470,30857,5277,95541,482847,14977,124154,202242,72861,250001,220864,4331,378229,1167,9345,187481,141729,219506,55362,62,34925,65228
2002,"辽宁",6909202,638244,141719,31530,146625,NA,159742,63503,164958,64938,16066,122657,874294,35318,197170,392946,230259,352620,1194421,10321,533088,16430,7327,461055,412697,238637,23870,515,134355,243897
2002,"吉林",3626170,300377,117050,27405,33298,NA,26881,31291,200370,41135,9975,86435,500058,23317,127429,158524,111232,265837,387745,4694,265215,3943,6333,209234,111534,407841,24899,14,49564,94540
2002,"黑龙江",5318682,417468,100188,18446,61223,NA,64500,47515,402780,69355,18542,126223,762239,27745,173502,346480,142841,132519,565276,6873,415547,2650,13652,314093,212105,478751,33936,182,136748,227303
2002,"上海",8623847,1841965,1169528,1436,19195,NA,115455,34976,55470,36997,1427,146031,1160659,96108,304531,310887,113329,55476,163144,2291,359200,8960,NA,555254,367498,40525,NA,100,161266,1502139
2002,"江苏",8602526,635620,525411,18869,114715,767,238487,77711,195225,65291,6979,221895,1624070,50994,418923,368689,191004,306557,253018,8485,887608,5544,10560,672241,771693,140794,10046,724,187264,593342
2002,"浙江",7499039,559709,469213,25049,160801,NA,174342,81608,249005,126750,6514,222448,1369386,61157,372296,511972,138739,61685,152798,4883,774749,5349,11935,610538,514306,57345,23485,100,191355,561522
2002,"安徽",4568579,538225,145269,30454,24998,NA,54463,47268,181142,31362,4359,110044,769113,17324,143009,152310,133955,291463,470823,4111,485954,3588,2453,255454,130501,199157,45905,32,56769,239074
2002,"福建",3975582,359070,95909,11273,49582,387,88123,33816,129400,55138,10765,121570,812504,37606,183986,230987,79431,248774,82365,9700,329325,2044,13303,294226,112237,66364,35019,213,61563,420902
2002,"江西",3413843,403617,59440,53068,14399,NA,50063,39904,133212,40782,8498,82296,592153,16237,128113,190398,99279,130399,321787,2207,315128,786,4492,223724,102767,115259,44616,94,36499,204626
2002,"山东",8606484,440415,444414,18540,136861,2000,158919,99240,299780,81824,12525,274203,1627761,53056,335712,517152,234287,389335,277783,6519,900217,5065,7047,535235,547982,192817,10973,3191,225840,767791
2002,"河南",6291811,407581,142616,23042,49581,500,93430,47026,206760,41499,7269,184072,1233217,29105,219236,357201,171061,433255,445222,2354,743882,707,NA,425146,214647,257172,69003,251,112481,374495
2002,"湖北",5113895,501009,84166,18741,46724,2977,70928,38696,223136,55396,15078,125538,833209,18518,223590,271135,179952,218113,377824,6760,517537,8,3527,355989,150063,153279,43799,158,61992,516053
2002,"湖南",5330229,582565,89418,54853,53007,NA,74053,44518,287352,51962,15948,130981,829801,23388,147068,294395,153532,300306,488001,9505,506316,1466,5778,350511,177463,155412,57968,85,79729,364848
2002,"广东",15210792,2115315,242406,25119,376918,3288,329078,56583,428793,94306,23386,348988,2331205,140613,644192,831930,252053,705446,374256,15998,1493804,6557,47440,1405089,683263,124315,50868,1319,278596,1779668
2002,"广西",4198575,620818,118544,29452,25795,4670,80853,34080,178926,23922,3337,114380,721669,31457,178604,277755,87132,172053,197031,6180,419887,7727,4639,325242,149386,55988,75794,163,55440,197651
2002,"海南",922574,113012,981,2652,2893,NA,18246,12151,29899,4177,1165,21026,141259,4283,33925,66443,17977,44223,87140,958,93086,1235,2653,61015,30770,7212,21192,205,9221,93575
2002,"重庆",3058591,604036,50317,5508,27725,NA,35267,26688,103360,9464,3672,58936,393941,7995,94431,67601,118722,218166,332296,5061,321091,616,11043,184172,149503,50254,35470,NA,42814,100442
2002,"四川",7016201,968746,222997,37312,52554,3195,83127,76188,451922,44149,13686,164094,1022588,35281,254283,202926,197540,418629,567652,15960,845046,3972,12272,435893,207376,161058,107202,119,74865,335569
2002,"贵州",3166702,364034,71356,29051,19404,NA,53079,23172,203570,38041,7817,102281,545080,19132,154055,119102,71035,25519,210019,4628,386862,1183,1869,205703,84665,24767,101651,68,40659,258900
2002,"云南",5268906,852532,102052,26167,42161,NA,137457,34132,291881,69475,16697,132866,860480,42644,287744,268905,119607,379225,256688,8590,493600,3653,15963,320505,149122,39259,138383,117,56286,122715
2002,"西藏",1378433,546749,2314,14156,6704,NA,12536,10920,48705,35294,758,32520,120202,2379,48622,17709,16407,20081,32711,775,186273,470,1066,61858,5401,17561,25981,NA,598,109683
2002,"陕西",4049114,604576,72269,43287,26262,136,53545,33019,315733,63880,10708,110248,609980,17420,144760,220467,114775,175178,404782,4499,417667,2498,2316,212426,111124,50331,65508,47,54660,107013
2002,"甘肃",2740111,404184,61658,39093,14925,200,40195,13458,211629,19190,1710,83684,422332,15780,106339,101887,58339,151886,187829,3145,305658,2869,1151,123785,53624,43185,84871,20,39882,147603
2002,"青海",1187280,350357,7620,9797,5910,NA,10434,11445,62612,10635,279,21391,115126,3448,44221,35563,24324,121137,97735,1657,102442,705,1609,48543,10791,11711,37188,NA,7206,33394
2002,"宁夏",1145650,255018,32809,10935,7832,NA,18411,10274,63682,9608,1501,26989,129889,5851,37244,33555,21318,42549,187490,789,69594,973,329,44419,24797,17201,37182,NA,9355,46056
2002,"新疆",3611729,865244,16320,38590,20758,NA,22446,25566,155596,27409,1073,81897,501337,15431,157256,172213,71933,287628,236379,2183,351147,1223,2683,192572,81671,86449,58174,NA,41096,97455
