"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V2_p1_1","V2_p1_2","V2_p1_3","V2_p1_4","V2_p1_5","V2_p1_6","V2_p1_7","V2_p1_8","V3_p1_1","V3_p1_2","V3_p1_3","V3_p1_4","V3_p1_5","V3_p1_6","V3_p1_7","V3_p1_8"
2015,"江苏",9687.58,845.68,NA,18.1,519.92,1746.22,371.96,196.06,838.06,649.31,308.45,1535.59,1008.6,547.81,448.45,136.15,18.05,29.7,64.56,247.18,25.97,22.21,2.38,107.17
2015,"浙江",6645.98,584.45,NA,9.2,423.55,1264.93,250.79,165.38,541.7,485.5,167.89,541.21,739.08,553.65,346.8,143.57,30.51,21.57,91.66,140.73,24.67,20.43,1.83,96.86
2015,"安徽",5239.01,400.09,NA,5.66,196.06,856.73,147.94,88.19,691.54,485.6,124.83,609.65,577.74,383.97,181.2,63.43,6.93,4.13,61.53,276.63,32.21,26.27,0.97,17.72
2015,"福建",4001.58,308.02,1.06,6.85,225.24,757.51,76.6,84.82,341.77,351.19,95.57,378.7,441.86,346.2,159.66,79.48,4.86,2.03,33.43,81.65,28.08,18.25,0.64,178.1
2015,"江西",4412.55,410.83,NA,7.13,195.44,793.27,74.79,68.9,510.18,398.79,87.43,331.44,557.3,247.18,275.79,55.7,10.22,1,36.84,241.38,17.23,20.45,0.83,70.43
2015,"山东",8250.01,738.11,NA,14.96,425.75,1690.62,159.05,137.26,904.64,701.43,217.08,920.57,964.42,460.69,276.06,116.88,48.74,17.59,110.88,204.14,31.38,43.39,1.67,64.71
2015,"河南",6799.35,695.32,NA,6.08,301.12,1271,83.25,105.38,945.83,717.74,177.77,645.21,791.63,371.01,149.98,57.71,40.92,2.84,55.72,242.04,36.21,29.92,1.07,71.58
2015,"湖北",6132.84,618.14,NA,4.25,295.24,913.05,157.36,84.03,858.7,515.25,145.84,545.16,616.57,452.05,451.36,52.17,10.51,6.28,61.24,204.78,44.12,24.31,1.21,71.24
2015,"湖南",5728.72,634.17,NA,11.7,271.54,928.54,66.26,111.74,781.79,493.74,149,551.26,676.24,318.93,190.78,63.47,8.83,4.62,74.44,277.26,34.06,36.1,1.46,42.81
2015,"广东",12827.8,1018.91,NA,16.48,834.54,2040.65,569.55,194.58,1064.91,918.36,322.33,1174.16,811.9,1982.63,525.38,147.85,141.17,70.42,117.2,357.29,67.6,22.45,1.35,428.1
2015,"广西",4065.51,395.3,0.46,9.87,220.55,789.69,49.63,79,460.63,413.87,98.68,317.52,497.53,237.83,128.61,45.56,33.79,NA,45.75,173.96,23.28,16.44,0.83,26.73
2015,"海南",1239.43,113.32,1.1,6.59,77.14,206.84,12.38,25.48,174.77,100.54,31.54,83.03,164.24,99.46,34.61,9.56,0.53,NA,13.12,48.26,3.17,7.56,0.21,25.97
2015,"重庆",3792,270.17,0.26,7.4,203.29,536.24,45.67,47.01,569.63,313.98,140.73,627.82,331.33,294.06,193.5,41.92,13.51,1.82,37.12,85.9,13.39,12.33,0.67,4.27
2015,"四川",7497.51,622.22,NA,11.9,369.74,1252.33,96.69,139.41,1111.75,686.42,169.31,514.08,926.65,601.14,251.52,82.52,17.4,5.33,77.87,288.9,35.95,17.51,1.07,217.8
2015,"贵州",3939.5,428.61,NA,5.09,215.95,772.91,58.68,61.2,340.33,360.8,96.49,127.71,534.26,392.25,94.46,24.97,0.79,NA,40.73,298.44,14.83,23.98,1.46,45.57
2015,"云南",4712.83,388.51,0.08,7.06,242.54,767.46,48.56,61.66,648.69,422.66,134.08,183.62,641.52,604.01,110.19,33.59,2.32,0.04,79.67,210.92,17.62,19.26,0.86,87.92
2015,"西藏",1381.46,205.92,0.38,2.26,103.23,167.27,5.41,34.73,103,62.8,56.83,93.34,200.27,178.61,32.92,12.4,2.84,NA,15.46,54.53,3.41,1.4,NA,NA
2015,"陕西",4376.06,359.36,NA,3.25,187.07,758.07,57.28,103.09,631.99,369.38,150.77,406.01,520.58,350.89,107.3,44.56,12.86,0.64,41.54,249.1,19.78,17.8,0.7,-15.97
2015,"甘肃",2958.31,272.01,NA,3.03,123.1,498.33,29.85,62.76,421.31,250.1,95.35,121.61,497.05,278.24,47.73,29.69,2.16,NA,35.2,127.87,13.32,15.09,0.39,34.12
2015,"青海",1515.16,117.33,NA,1,59.02,163.19,11.22,33.6,189.34,99.43,87.36,128.45,204.41,205.49,55.47,19.06,6,0.09,16.52,65.25,7.55,25.93,0.35,19.1
2015,"宁夏",1138.49,67.09,NA,1.25,51.23,142.51,17.25,20.97,146.23,74.11,45.49,145.96,166.27,97.85,28.22,20.08,7.11,NA,8.12,72.25,2.67,14.08,0.22,9.53
2015,"新疆",3804.87,366.41,0.17,4.98,251.95,647.93,41.64,78.96,371.9,244.01,71.51,323.04,605.34,270.75,72.11,52.4,1.18,NA,41.46,209.19,19.75,35.88,0.58,93.74
