"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p1_9","V1_p1_10","V1_p1_11","V1_p1_12","V1_p1_13","V1_p1_14","V1_p1_15","V1_p1_16","V1_p1_17","V1_p1_18","V1_p1_19"
2009,"地方合计",61044.14,8080,126.09,3898.3,9869.92,1310.7,1238.32,7851.85,3930.69,1896.13,5103.76,6401.71,3578.37,2370.89,1437.19,133.15,1043.85,170.58,2602.65
2009,"北京",2319.37,212.21,5.29,161.38,365.67,126.31,74.75,234.29,166.63,54.05,347.82,142.01,147.07,110.31,19.58,2.44,18.1,NA,NA
2009,"天津",1124.28,110.59,1.02,73.49,173.61,34,19.81,115.9,54.22,13.36,261.07,63.69,49.44,70.09,11.44,3.55,6.83,NA,NA
2009,"河北",2347.59,346.49,4.51,151.2,439.33,26.43,38.02,317.42,174.68,104.2,149.57,264.78,161.06,46.05,47.38,1.26,0.13,0.41,74.67
2009,"山西",1561.7,247.94,2.7,98.44,278.07,17.61,27.97,236.94,101.73,70.61,85.31,198.47,93.68,28.55,22.15,12.99,6.4,1.25,30.9
2009,"内蒙古",1926.84,295.22,3.26,96.9,243.48,18.07,47.33,274.97,102.94,97.9,210.03,222.36,132.9,58.79,72.29,4.42,NA,NA,1.87
2009,"辽宁",2682.39,329.16,7.49,154.16,346.73,57.49,76.25,518.07,163.32,55.71,289.66,240.71,106.6,142.16,53.23,4.84,0.15,11.26,125.4
2009,"吉林",1479.21,182.67,3.08,98.19,216.99,18.98,29.36,250.44,107.34,49.48,82.58,204.45,57.66,49.46,63.14,3.54,3.32,35.57,22.96
2009,"黑龙江",1877.74,229.31,3.47,109.11,266.61,19.96,33.46,339.64,135.5,59.07,104.17,192.42,103.78,74.82,146.89,7.68,NA,NA,0.09
2009,"上海",2989.65,206.68,6.06,163.41,346.95,215.31,53.12,336.08,132.85,33.96,602.36,107.45,81.84,294.47,39.86,22.82,21.66,1.84,322.92
