"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p1_9","V1_p1_10","V1_p1_11","V1_p1_12","V1_p1_13","V1_p1_14","V1_p1_15","V1_p1_16","V1_p1_17","V1_p1_18","V1_p1_19","V1_p1_20","V1_p1_21","V1_p1_22","V1_p1_23","V1_p1_24"
2016,"地方合计",160351.36,13581.37,2.28,219.87,9290.07,26625.06,3877.86,2915.13,20700.87,13067.61,4439.33,18374.86,17808.29,9686.59,5465.41,1688.14,550.33,303.17,1473.93,6338.77,738.03,1700.49,36.74,1467.16
2016,"北京",6406.77,367.2,NA,8.51,358.79,887.37,285.78,198.35,716.2,397.95,363.38,1120.37,443.55,353.48,194.67,56.15,11.3,41.21,19.51,322.09,11.07,36.33,0.79,212.72
2016,"天津",3699.43,192.2,NA,3.66,177.4,502.49,125.18,57.16,377.92,203.23,65.63,1146.48,161.02,111.52,220.8,40.91,3.05,11.44,57.4,116.23,7.11,18.59,0.67,99.34
2016,"河北",6049.53,551.81,NA,10,336.57,1134.9,73.18,87.54,839.27,547.86,262.8,555.7,800.79,251.8,125.35,35.8,7.5,7.47,73.65,182.01,25.65,80.32,1.42,58.14
2016,"山西",3428.86,266.28,NA,4.84,203.52,606.97,34.56,72.64,542.28,300.86,115.54,256.7,432.02,193.17,60.55,15.91,7.95,2.54,91.18,148.7,17.88,30.24,0.59,23.94
2016,"内蒙古",4512.71,324.69,0.03,4.04,222.17,554.97,32.38,89.25,642.54,284.63,159.39,592.33,729.02,299.43,94.92,37.04,4.44,0.35,58.34,210.71,20.6,66.15,2.02,83.27
2016,"辽宁",4577.47,370.92,NA,8.17,297.15,633.96,61.61,84.7,1145.49,307.31,87.24,392.74,480.73,188.37,94.34,33.24,28.1,10.53,38.78,154.4,23.97,100.23,2.23,33.26
2016,"吉林",3586.09,260.91,NA,4.35,205.08,499.7,41.01,72.03,497.59,273.62,122.14,383.35,550.5,202.05,125.81,30.01,34.25,2.43,45.61,136.45,49.47,41.58,0.7,7.45
2016,"黑龙江",4227.34,266.7,NA,4.88,210.3,558.87,44.92,53.21,732.41,280.56,113.44,387.08,801.77,250.4,81.99,17.47,5.9,2.98,35.73,271.95,62.32,35.52,0.82,8.12
2016,"上海",6918.94,302.09,NA,9.38,337.17,840.97,341.71,113.34,988.81,383.1,134.41,1588.04,327.41,403.88,558.64,129.25,20.4,34.86,52.19,230.67,18.07,44.15,1.03,59.37
2016,"江苏",9981.96,920.93,NA,14.61,634.76,1842.94,381.02,193.28,897.93,712.77,285.11,1440.12,985.62,511.81,437.26,123.74,26.95,33.59,73.49,269.43,31.51,95.38,2.56,67.15
2016,"浙江",6974.26,660.26,NA,8.52,518.58,1300.03,269.04,158.72,631.19,542.44,161.4,788.93,722.41,463.75,191.01,133.51,10.33,22.8,45.88,160.86,18.71,86.81,2.29,76.79
2016,"安徽",5522.95,404.09,NA,6.09,221.17,910.87,259.5,84.23,761.59,480.12,133.64,669.06,624.83,341.37,157.36,59.47,33.04,4.42,40.36,229.29,31.56,56.53,0.94,13.42
2016,"福建",4275.4,338.21,0.3,6.34,257.32,789.11,80.28,81.26,348.99,377.58,130.35,572.24,410.58,287.66,175.39,83.11,6.28,2.93,40.04,105.85,23.59,38.64,1.03,118.32
2016,"江西",4617.4,416.59,NA,5.87,229.14,848.88,83.12,70.49,582.23,438.72,117.88,380.12,580.9,223.49,258.33,41.22,4.07,3,28.39,171.65,22.18,48.66,0.9,61.57
