"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p1_9","V1_p1_10","V1_p1_11","V1_p1_12","V1_p1_13","V1_p1_14","V1_p1_15","V1_p1_16","V1_p1_17","V1_p1_18","V1_p1_19","V1_p1_20","V1_p1_21","V1_p1_22","V1_p1_23","V1_p1_24"
2016,"山东",8755.21,783.56,NA,13.13,521.52,1825.99,167,137.47,992.66,790.19,239.28,1012.46,943.44,372.84,239.05,113.79,43.17,18.04,107.39,248.74,33.74,101.43,2.12,48.2
2016,"河南",7453.74,750.94,NA,9.52,358.41,1343.76,96.1,97.33,1067.4,778.01,195.72,879.33,807.06,347.97,120.86,42.97,34.95,2.89,54.37,268.58,37.24,101.43,2.06,56.84
2016,"湖北",6422.98,639.6,NA,3.55,352.73,1047.37,190.11,96.61,978.82,588.9,145.64,588.48,704.59,391.8,209.94,37.28,4.13,5.73,48.77,240.64,40.6,65.42,1.43,40.84
2016,"湖南",6339.16,675.95,NA,11.01,333.45,1032.37,71.44,140.68,874.41,546.27,170.85,640.66,729.75,325.01,188.45,57.75,4.47,4.13,64.56,305.21,41.87,73.79,1.87,45.21
2016,"广东",13446.09,1147.35,0.19,12.46,1066.08,2318.47,742.97,229.71,1146.31,1121.83,297.45,1515.29,715.44,1014.52,772.96,203.33,159.47,83.74,77.8,662.85,56.44,81.64,1.53,18.26
2016,"广西",4441.7,450.78,0.11,9.02,263.28,854.55,45.2,71.08,538.95,468.18,90.7,364.99,573.48,217.12,113.55,40.71,5.29,NA,44.1,185.55,20.95,56.69,0.85,26.57
2016,"海南",1376.48,129.48,0.99,10.98,85.09,214.24,15.69,26.9,184.01,114.17,37.31,116.38,179.04,114.24,24.77,11.37,1.26,NA,10.26,56.25,3.24,24.23,0.26,16.32
2016,"重庆",4001.81,285.54,0.2,6.25,226.17,575.18,51.62,47.98,640.55,331.18,136.2,684.56,347.99,268,143.64,48.13,4.52,1.56,45.15,108.2,10.61,34.3,0.77,3.51
2016,"四川",8008.89,682.78,NA,16.85,429.39,1301.85,101.09,145.2,1320.17,772.24,166.35,550.93,988.71,569.11,263.8,73.41,21.79,5.49,67.65,312.28,33.43,61.47,1.55,123.35
2016,"贵州",4262.36,446.11,NA,4.55,249.96,843.54,69.3,67.34,367.23,392.51,127.09,131.91,629.38,289.97,123.76,31.05,4.32,NA,28.42,291.73,10.35,76.05,1.61,76.18
2016,"云南",5018.86,476.98,0.02,7.2,293.61,871.14,46.86,77.93,692.38,466.98,150.13,216.49,712.92,487.06,87.16,31.55,1.26,NA,67.51,242.3,14.45,35.9,1.27,37.76
2016,"西藏",1587.98,228.03,0.28,2.3,95.66,169.64,4.81,34.85,208.47,69.97,33.05,142.07,243.28,210.47,45.63,6.87,7.86,NA,12.33,51.14,2.3,1.22,0.01,17.74
2016,"陕西",4389.37,364.86,NA,3.66,215.79,777.53,62.01,125.85,655.48,381.66,126.79,433.15,543.3,256.15,107.44,49.03,4.68,0.99,35.8,215.98,18.88,47.49,1.13,-38.28
2016,"甘肃",3150.03,290.79,NA,2.74,156.52,548.95,26.23,63.84,464.81,273.25,95.25,196.45,488.1,219.24,69.98,24.27,3.16,NA,37.06,124.5,13.14,28.57,0.43,22.75
2016,"青海",1524.8,121.42,NA,0.88,70.98,171.36,10.9,33.32,196.17,103.06,73.41,119.74,232.35,178.72,49.58,14.6,6.92,0.05,16.89,69.93,5.6,40.75,0.82,7.35
2016,"宁夏",1254.54,75.79,NA,1.29,61.43,152.57,18.26,25.23,164.24,82.03,36.69,182.14,201.29,73.03,33.96,21.98,18.16,NA,8.68,63.58,2.91,23.01,0.26,8.01
2016,"新疆",4138.25,388.53,0.16,5.22,300.88,664.52,44.98,77.61,504.37,256.43,65.07,326.57,717.02,269.16,94.46,43.22,21.36,NA,46.64,181.02,28.59,67.97,0.78,33.69
