"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p2_1","V1_p2_2","V1_p2_3","V1_p2_4","V1_p2_5","V1_p2_6","V1_p2_7","V1_p2_8","V1_p3_1","V1_p3_2","V1_p3_3","V1_p3_4","V1_p3_5","V1_p3_6","V1_p3_7","V1_p3_8","V1_p4_1","V1_p4_2","V1_p4_3","V1_p4_4","V1_p4_5","V1_p4_6","V1_p4_7","V1_p4_8"
2004,"江苏",13120404,1012157,650180,27203,199149,NA,505486,38101,213166,171841,8296,321101,2143705,64573,623921,559907,300823,431069,453760,22029,1477943,5760,21509,1056325,1202411,141875,13733,382,370,43758,309376,1100495
2004,"浙江",10629355,732868,537581,29632,252380,NA,511209,58953,180844,223693,12229,321055,2000797,91501,527709,790477,237238,80475,255527,12593,1176801,6781,22804,982693,621881,52944,34407,487,565,NA,251479,621752
2004,"安徽",6015280,508578,209463,37288,29904,40,253414,168256,65258,47676,7778,145637,1055638,22153,221171,202833,202407,369977,483863,7406,645081,4024,4127,376652,177737,164909,53782,124,492,3840,109329,436443
2004,"福建",5166787,410376,192017,12806,67384,398,184204,43736,72245,89636,13325,161246,1008963,43837,233252,283742,134465,321619,94099,15872,424795,2027,16580,390099,142780,67797,38494,2576,217,27991,81087,589122
2004,"江西",4540598,342389,91890,60829,22635,NA,215747,163363,44328,74326,12918,111902,737127,19979,175879,286068,160805,165841,372631,2572,416770,1025,5535,322542,207709,114370,57809,77,NA,12,NA,63116
2004,"山东",11893716,600330,510142,27031,157800,2650,509248,77199,144626,124050,19770,366895,2048284,65970,452199,596766,309460,519429,439691,11929,1312928,5573,10229,807554,885953,196740,14552,2183,3132,2316,328259,1340828
2004,"河南",8799580,672263,215560,25654,68235,NA,266272,159966,114381,118862,12584,303103,1532898,34715,337404,469196,258495,583450,628849,7364,974344,791,NA,566884,276353,287098,79380,671,814,13276,225246,565472
2004,"湖北",6462888,374575,113387,22207,59873,4804,245887,223308,69462,72041,18404,155505,1045080,21229,263743,340577,271333,249806,599442,11282,699005,1001,8785,515226,221544,154598,51452,273,1271,4263,74401,569124
2004,"湖南",7195435,464763,146274,59132,64838,NA,340831,326903,73556,111825,25326,178296,1043285,24080,197383,385264,252096,372878,749416,11882,709298,2335,10169,483201,286567,139254,67549,112,730,2716,134432,531044
2004,"广东",18529500,2541273,226959,32865,406516,2715,416013,136780,395912,195375,32632,442981,2879522,157747,729099,1016108,336839,945966,435836,26423,1931009,5901,64588,1903531,861050,128274,121045,3675,334,890,362140,1789502
2004,"广西",5074721,454371,125615,31095,29566,15,205701,183397,75790,40452,5350,153117,905379,37322,220169,321839,122776,223165,199286,10752,519762,8281,7587,402346,228064,54836,87854,853,147,4972,82106,332756
2004,"海南",1272006,149311,3390,3474,5229,NA,44060,35685,23814,5699,1068,28904,179249,4907,54270,73589,35194,56553,114568,2600,124176,1558,3848,83182,44324,14373,25995,668,179,41,15480,136618
2004,"重庆",3957233,529594,76144,7379,39668,NA,115066,186579,28501,15887,3912,88630,497847,10172,120564,97779,144578,288870,327589,5585,451604,671,10115,274003,274108,58897,43436,NA,48,4261,75797,179949
2004,"四川",8952534,848048,228409,44275,65548,1128,328016,649456,95262,87972,18837,224155,1225217,41010,342542,279603,301892,543451,649986,17665,1139635,3689,15894,625369,254231,158220,114412,112,431,19995,135807,492267
2004,"贵州",4184181,382750,43823,35361,25887,NA,172806,295119,55227,53042,9876,146772,737679,26408,195474,151199,107443,31872,229059,4734,511020,1851,2820,287496,105264,33481,118329,54,NA,7836,56117,355382
2004,"云南",6636354,648877,162489,28517,39883,NA,291589,331975,95412,81958,17660,182227,1118233,43602,361946,286207,188120,582888,333081,15300,677565,4235,20287,438337,191362,47057,154096,48,47,420,80566,212370
2004,"西藏",1338335,324028,4037,16022,4039,NA,51159,23114,11671,39825,561,35485,151132,2898,63727,11928,22661,20140,38909,2528,241636,421,2235,72309,4050,19624,31378,NA,4,NA,3302,139512
2004,"陕西",5163052,463151,98463,50934,33044,NA,187379,494857,66103,101895,15313,137498,743497,19738,180908,293742,146949,234424,502175,4180,523074,2059,4225,295266,184078,73344,77264,56,2,354,59957,169123
2004,"甘肃",3569366,328815,38649,45582,20109,NA,112281,312117,45598,33411,1899,106267,536579,18053,134101,138216,93100,200887,396647,3839,349975,2585,2230,160554,89606,50362,104923,157,626,750,64605,176843
2004,"青海",1373363,208426,14925,15711,5984,NA,48029,96923,14272,17576,305,30827,152629,4247,63398,45322,41265,146440,120968,1484,133747,750,2065,65004,12967,11214,45927,50,355,2932,18777,50844
2004,"宁夏",1230177,205213,32627,12217,8147,NA,61434,106492,15646,14827,1325,29998,161044,7163,43539,45902,27844,61181,57117,1941,87671,1320,2526,65600,43181,16438,35558,80,NA,NA,18607,65539
2004,"新疆",4210446,622827,25516,47997,26181,NA,174998,129784,33322,36800,959,105052,613943,20441,194919,196949,94260,361586,208521,9607,487805,651,7286,260148,140191,87954,67006,NA,356,NA,83825,171562
