"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p2_1","V1_p2_2","V1_p2_3","V1_p2_4","V1_p2_5","V1_p2_6","V1_p2_7","V1_p2_8","V1_p3_1","V1_p3_2","V1_p3_3","V1_p3_4","V1_p3_5","V1_p3_6","V1_p3_7","V1_p3_8","V1_p4_1","V1_p4_2","V1_p4_3","V1_p4_4","V1_p4_5","V1_p4_6","V1_p4_7","V1_p4_8"
2004,"地方合计",205928063,20937024,7415067,886958,2280527,12917,7103281,5939444,2477241,2447752,331239,5208493,31462978,1236936,8322510,10096612,5557421,9324555,13288419,279985,19952079,114814,309307,14661212,9682286,3784723,1725265,20829,14847,176611,4115672,16761059
2004,"北京",8982756,739446,428314,11134,78547,NA,217329,69279,46727,61856,2363,202481,1213881,132556,540662,361204,266954,458358,226616,3024,533379,1859,NA,677822,404388,45178,NA,273,1052,NA,266870,1991204
2004,"天津",3750212,693881,271803,13341,91979,NA,80147,13247,15923,18401,222,86942,553991,22915,183378,94539,72820,12167,325213,2565,219009,4669,2364,257858,408127,25190,39,2011,469,NA,65402,211600
2004,"河北",7855591,618577,149016,25474,68231,NA,242201,266509,77190,131799,11631,194480,1423523,29857,351422,553749,214497,417532,485292,10892,802101,8360,4482,554549,315047,214981,55916,2787,1468,119,200899,423010
2004,"山西",5190569,430855,25936,19396,42492,770,189392,214225,56752,81496,8688,145092,802684,18856,223898,248063,155621,306761,570427,7091,559127,1305,5688,326785,181838,89723,50567,205,99,NA,147802,278935
2004,"内蒙古",5641117,759463,202233,37145,33720,NA,199691,494099,62584,52947,5271,127828,662206,17485,174747,303348,116165,363521,418242,5024,569237,1345,14158,286448,254763,163692,66767,63,1041,5297,87151,155436
2004,"辽宁",9313979,865445,234889,44886,195315,NA,342856,145269,109175,125262,16225,182466,1210028,39867,254934,480590,345097,414981,1308715,18571,756115,17847,10302,640022,588260,251748,38174,2563,527,502,196810,476538
2004,"吉林",5077758,414223,102994,36444,36523,397,161463,168461,40105,63982,11751,131813,607409,22908,170197,252269,198584,303738,793450,5449,367524,4029,12240,297489,123435,481022,32617,109,NA,30082,65182,141869
2004,"黑龙江",6975516,483451,319213,24047,85390,NA,266089,271676,56929,91040,33128,161333,918029,35636,235805,427570,207361,194808,967071,10603,567527,2822,14629,412324,275600,429360,42804,180,NA,NA,222590,218501
2004,"上海",13825254,3106700,1933129,1880,16331,NA,163284,54616,77460,62300,1633,199405,1553500,135111,450150,502067,190279,60722,502373,7199,562416,9289,NA,773594,675417,10170,NA,NA,59,NA,229155,2547015
