"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p1_9","V1_p1_10","V1_p1_11","V1_p1_12","V1_p1_13","V1_p1_14","V1_p1_15","V1_p1_16","V1_p1_17","V1_p1_18","V1_p1_19","V1_p1_20","V1_p1_21","V1_p1_22","V1_p1_23","V1_p1_24"
2012,"地方合计",107188.34,11702.14,1.44,210.54,5928.13,20140.64,2242.2,2074.79,11999.85,7170.82,2899.81,9060.92,11471.39,7332.57,3934.53,1351.71,249.69,103.81,126.56,1367.59,4068.71,731.09,575.33,2444.07
2012,"北京",3685.31,286.57,NA,7.87,236.87,628.65,199.94,141.37,424.31,256.06,113.54,430.76,222.69,243.76,165.32,NA,38.29,NA,3,NA,0.31,NA,14.99,NA
2012,"天津",2143.21,136.55,NA,1.6,111.92,378.75,76.45,35.85,201.17,105.91,38.49,590.26,100.98,87.21,106.68,NA,29.21,NA,2.81,NA,NA,NA,4.83,NA
2012,"河北",4079.44,481.97,NA,10.48,227.17,865.54,44.74,59.29,470.21,323.17,127.93,283.51,443.62,287.04,89.71,NA,49.48,NA,4.89,NA,NA,NA,3.41,NA
2012,"山西",2759.46,274.47,NA,4.64,143.79,558.03,33.32,60.2,354.61,180.34,88.17,160.45,309.63,194.82,47.78,NA,23.67,NA,5.15,NA,NA,NA,2.16,NA
2012,"内蒙古",3425.99,341.83,0.1,6.19,173.36,439.97,27.61,87.21,435.47,177.91,131.59,363.24,450.83,301.24,88.86,NA,29.95,NA,3.25,NA,NA,NA,3.11,NA
2012,"辽宁",4558.59,485.71,NA,13.75,228.8,728.79,101.24,79.25,727.71,200.19,93.27,595.19,405.02,256.1,263.33,NA,44.99,NA,7.62,NA,0.01,NA,2.21,NA
2012,"吉林",2471.2,249.38,NA,5.38,135.67,451.05,24.96,47.48,304,160.36,113.85,166.29,291.3,128.16,74.31,NA,23.38,NA,4.62,NA,NA,NA,1.71,NA
2012,"黑龙江",3171.52,271.26,0.04,5,168.4,544.79,37.64,47.27,458.2,173.33,104.86,205.6,430.39,226.51,94.68,NA,28.43,NA,2.61,NA,NA,NA,32.19,NA
2012,"上海",4184.02,251.47,NA,6.88,221.08,648.95,245.43,72.51,443.01,197.34,55.18,627.44,217.97,115.41,401.92,NA,60.51,NA,17.05,NA,NA,NA,25.62,NA
2012,"江苏",7027.67,820.43,NA,17.58,407.78,1350.61,257.24,150.9,557.77,418.14,193.83,858.13,754.09,436.58,283.18,NA,124.87,22.98,NA,NA,NA,14.66,NA,50.57
2012,"浙江",4161.88,503.61,NA,7.67,319.03,877.86,165.98,94.18,345.44,305.91,77.7,307.82,408.2,287.64,161.65,NA,84.63,NA,9.87,NA,NA,NA,10.89,NA
2012,"安徽",3961.01,425.96,NA,6.01,149.15,717.94,96,71.43,459.19,319.39,95.52,348.03,430.47,237.17,131.46,NA,71.53,NA,4.04,NA,NA,NA,2.74,NA
2012,"福建",2607.5,293.15,NA,5.51,162.39,562.3,48.47,46.07,205.28,185.99,48.6,178.86,244.16,272.08,106.58,NA,55.38,NA,2.98,NA,NA,NA,0.09,NA
2012,"江西",3019.22,308.16,NA,5.4,141.71,622.06,27.5,44.77,323.06,219.15,66.91,176.7,384.77,192.78,196.03,NA,38.22,NA,6.92,NA,NA,NA,30.36,NA
2012,"山东",5904.52,705.51,NA,12.68,317.38,1311.8,124.98,114.27,596.48,422.91,154.42,468.09,673.82,322.93,207.82,NA,96,NA,17.35,NA,NA,NA,5.74,NA
2012,"河南",5006.4,663.07,NA,7.13,244.42,1106.51,69.64,69.63,631.61,425.99,109.45,237.97,551.73,300.43,119.32,NA,53.99,NA,25.06,NA,NA,NA,55.96,NA
2012,"湖北",3759.79,466.51,NA,2.99,204.53,732.37,54.39,62.47,501.13,267.99,95.63,201.73,419.02,212.68,150.43,NA,58.63,NA,9.05,NA,NA,NA,4.37,NA
2012,"湖南",4119,550.26,NA,9.34,200.38,807.58,48.19,54.5,525.71,294.17,109.43,302.21,447.74,273.82,120.74,NA,55.95,NA,3.22,NA,NA,NA,0.15,NA
2012,"广东",7387.86,892.62,NA,14.7,621.39,1501.22,246.71,137.64,611.04,505.14,235.44,623.28,539.56,503.57,184.75,NA,68.75,NA,27.67,NA,0.12,NA,22.98,NA
2012,"广西",2985.23,386.37,NA,7.66,152.39,589.24,42.81,45.52,282.33,253.17,60.01,162.07,369.07,242.74,99.4,NA,30.72,NA,5.12,NA,NA,NA,0.05,NA
2012,"海南",911.67,98.53,0.63,3.89,57.11,158.79,12.06,19.85,106.15,59.86,21.23,52.22,123.62,67.51,22.83,NA,12.19,NA,0.75,NA,NA,NA,10.89,NA
2012,"重庆",3046.36,251.31,0.19,7.16,134.03,471.49,29.84,33.08,403.05,167.43,128.69,500.39,256.35,207.47,152.35,NA,45.38,NA,3.51,NA,NA,NA,4.67,NA
2012,"四川",5450.99,554.38,NA,12.23,272.63,993.2,59.4,120.7,680.21,424.26,135.94,325.98,654.95,435.49,191.51,NA,61.76,NA,10.72,NA,82.91,NA,1.59,NA
2012,"贵州",2755.68,430.16,NA,4.58,146.21,500.51,28.98,49.85,235.4,201.05,65.73,100.65,361.87,288.56,69.72,NA,18.76,NA,0.97,NA,NA,NA,30,NA
2012,"云南",3572.66,338.16,0.02,7.17,185.88,674.82,32.67,62.06,439.06,266.94,101.12,148.84,518.6,309.57,66.32,39.03,4.43,0.01,0.05,53.17,231.42,9.84,40.49,43.01
2012,"西藏",905.34,150.36,0.19,3.43,61.77,94.48,5.09,24.18,65.54,36.12,23.67,31.55,142.62,94.26,70.54,NA,6.98,NA,0.34,NA,NA,NA,7.39,NA
2012,"陕西",3323.8,407.11,NA,3.84,149.04,703.34,34.94,91.81,421.16,222.3,94.14,182.05,376.45,248.24,93.47,NA,34.87,NA,7.51,NA,3.31,NA,0.55,NA
2012,"甘肃",2059.56,229.5,NA,1.85,95.22,367.92,16.19,49.87,294.64,148.21,72,80.52,302.37,126.43,38.37,NA,19.13,NA,8.1,NA,17.02,NA,NA,NA
2012,"青海",1159.05,82.66,NA,0.99,40.31,171.81,7.18,18.92,179.51,60.11,43.99,57.98,134.31,154.85,48.05,NA,10.21,NA,6.26,NA,0.06,NA,NA,NA
2012,"宁夏",864.36,61.44,NA,1.41,40.97,106.45,9.61,14.44,89.6,46.09,35.37,109.63,139.8,51.02,26.99,NA,14.57,NA,4.95,NA,NA,NA,8.8,NA
2012,"新疆",2720.07,303.67,0.28,5.53,177.37,473.86,33.01,68.23,227.79,145.88,64.12,183.49,365.39,226.47,60.45,NA,22.24,NA,16.89,NA,0.06,NA,NA,NA
