"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p1_9","V1_p1_10","V2_p1_1","V2_p1_2","V2_p1_3","V2_p1_4","V2_p1_5","V2_p1_6","V2_p1_7","V2_p1_8","V2_p1_9","V2_p1_10","V2_p1_11","V2_p1_12"
2010,"海南",581.34,62.44,1.91,43.94,98.33,7.47,11.61,73.8,34.82,14.89,36.81,87.68,26.23,14.6,7.82,0.01,NA,NA,NA,9.1,23.83,1.64
2010,"重庆",1709.04,168.49,6.18,91.84,240.46,17.9,24.04,236.98,94.87,69.01,251.26,159.18,81.85,83.28,30.66,4.62,4.52,31.99,79.91,9.91,1.18,20.9
2010,"四川",4257.98,407.31,8.53,218.38,540.65,34.71,59.37,513.65,263.34,112.99,179.19,401.76,192.98,153.73,69.29,4.79,808.82,48.37,107.03,26.8,11.83,94.45
2010,"贵州",1631.48,212.69,3.66,101.46,292.06,16.66,23.98,140.76,127.68,54.32,53,246.76,109.61,48.34,21.52,0.06,NA,NA,NA,24.51,87.62,5.72
2010,"云南",2285.72,246.5,6.53,145.42,374.79,21.43,35.53,304.69,183.7,86.41,86.66,327.21,139.88,46.22,35.3,7.79,0.04,31.93,112.12,6.35,34.23,52.93
2010,"西藏",551.04,72.35,3.06,41.33,60.8,2.71,12.48,31.91,32.04,11.77,20.51,89.11,64.06,17.24,5.84,0.35,NA,NA,NA,6.92,10.46,1.89
2010,"陕西",2218.83,287.29,2.9,111.5,377.79,25.25,47.86,315.61,156.66,82.88,126.84,267.16,129.06,71.63,34.96,2.22,17.78,32.12,68.72,15.92,13.99,30.7
2010,"甘肃",1468.58,145.75,1.77,70.45,228.23,10.89,29.78,215.09,100.4,68.31,56.82,196.27,66.58,27.89,17.66,7.24,94.15,36.77,58.1,9.81,5.53,21.1
2010,"青海",743.4,55.2,0.79,35.48,82.47,4.08,11.57,189.5,38.94,36.15,30.6,69.5,46.68,23.27,7.85,0.55,0.12,22.39,61.09,4.43,5.34,17.38
2010,"宁夏",557.53,51.77,0.63,31.49,81.59,5.97,16.09,35.03,34.02,30.79,61.89,94.23,21.8,21.66,10.33,0.93,NA,NA,NA,7.15,28.05,2.29
2010,"新疆",1698.91,195.57,4.03,128.56,313.84,20.19,33.92,166.4,103.56,51.02,95.28,220.5,91.54,38.53,21.64,4,10.86,33.65,90.02,12.2,5.61,57.62
